"","Countrycode","Country.or.Area","Subgroup","Source","Year","Value","Region"
"218","BEL","Belgium","Female","UNESCO_UIS Database_Sep2007",2004,387031,"Europe & Central Asia"
"219","BEL","Belgium","Male","UNESCO_UIS Database_Sep2007",2004,418747,"Europe & Central Asia"
"220","BEL","Belgium","Male","UNESCO_UIS Database_Sep2007",2005,423401,"Europe & Central Asia"
"221","BEL","Belgium","Male","UNESCO_UIS Database_Sep2007",2003,575808,"Europe & Central Asia"
"222","BEL","Belgium","Male","UNESCO_UIS Database_Sep2007",1999,510228,"Europe & Central Asia"
"223","BEL","Belgium","Female","UNESCO_UIS Database_Sep2007",2003,605519,"Europe & Central Asia"
"224","BEL","Belgium","Female","UNESCO_UIS Database_Sep2007",2005,391138,"Europe & Central Asia"
"225","BEN","Benin","Female","UNESCO_UIS Database_Sep2007",1999,66945,"Sub-Saharan Africa"
"226","BEN","Benin","Male","UNESCO_UIS Database_Sep2007",2005,281183,"Sub-Saharan Africa"
"227","BEN","Benin","Male","UNESCO_UIS Database_Sep2007",2000,157786,"Sub-Saharan Africa"
"228","BEN","Benin","Female","UNESCO_UIS Database_Sep2007",2005,154266,"Sub-Saharan Africa"
"229","BEN","Benin","Male","UNESCO_UIS Database_Sep2007",1999,146529,"Sub-Saharan Africa"
"230","BEN","Benin","Male","UNESCO_UIS Database_Sep2007",2004,235706,"Sub-Saharan Africa"
"231","BEN","Benin","Female","UNESCO_UIS Database_Sep2007",2004,109184,"Sub-Saharan Africa"
"232","BEN","Benin","Male","UNESCO_UIS Database_Sep2007",2002,195947,"Sub-Saharan Africa"
"233","BEN","Benin","Male","UNESCO_UIS Database_Sep2007",2003,213994,"Sub-Saharan Africa"
"234","BEN","Benin","Female","UNESCO_UIS Database_Sep2007",2002,91345,"Sub-Saharan Africa"
"235","BEN","Benin","Male","UNESCO_UIS Database_Sep2007",2001,175082,"Sub-Saharan Africa"
"236","BEN","Benin","Female","UNESCO_UIS Database_Sep2007",2000,71442,"Sub-Saharan Africa"
"237","BEN","Benin","Female","UNESCO_UIS Database_Sep2007",2001,81662,"Sub-Saharan Africa"
"238","BEN","Benin","Female","UNESCO_UIS Database_Sep2007",2003,98433,"Sub-Saharan Africa"
"239","BFA","Burkina Faso","Male","UNESCO_UIS Database_Sep2007",1999,108187,"Sub-Saharan Africa"
"240","BFA","Burkina Faso","Male","UNESCO_UIS Database_Sep2007",2000,115802,"Sub-Saharan Africa"
"241","BFA","Burkina Faso","Female","UNESCO_UIS Database_Sep2007",1999,65018,"Sub-Saharan Africa"
"242","BFA","Burkina Faso","Female","UNESCO_UIS Database_Sep2007",2000,73887,"Sub-Saharan Africa"
"243","BFA","Burkina Faso","Female","UNESCO_UIS Database_Sep2007",2001,78027,"Sub-Saharan Africa"
"244","BFA","Burkina Faso","Female","UNESCO_UIS Database_Sep2007",2002,80201,"Sub-Saharan Africa"
"245","BFA","Burkina Faso","Female","UNESCO_UIS Database_Sep2007",2003,94598,"Sub-Saharan Africa"
"246","BFA","Burkina Faso","Female","UNESCO_UIS Database_Sep2007",2004,107200,"Sub-Saharan Africa"
"247","BFA","Burkina Faso","Female","UNESCO_UIS Database_Sep2007",2005,120331,"Sub-Saharan Africa"
"248","BFA","Burkina Faso","Male","UNESCO_UIS Database_Sep2007",2002,124646,"Sub-Saharan Africa"
"249","BFA","Burkina Faso","Male","UNESCO_UIS Database_Sep2007",2001,121251,"Sub-Saharan Africa"
"250","BFA","Burkina Faso","Male","UNESCO_UIS Database_Sep2007",2004,158308,"Sub-Saharan Africa"
"251","BFA","Burkina Faso","Male","UNESCO_UIS Database_Sep2007",2003,142316,"Sub-Saharan Africa"
"252","BFA","Burkina Faso","Male","UNESCO_UIS Database_Sep2007",2005,175081,"Sub-Saharan Africa"
"253","BGD","Bangladesh","Female","UNESCO_UIS Database_Sep2007",2002,5659714,"South Asia"
"254","BGD","Bangladesh","Female","UNESCO_UIS Database_Sep2007",2000,5131448,"South Asia"
"255","BGD","Bangladesh","Male","UNESCO_UIS Database_Sep2007",2005,5220989,"South Asia"
"256","BGD","Bangladesh","Female","UNESCO_UIS Database_Sep2007",2003,5670931,"South Asia"
"257","BGD","Bangladesh","Female","UNESCO_UIS Database_Sep2007",2001,5443809,"South Asia"
"258","BGD","Bangladesh","Male","UNESCO_UIS Database_Sep2007",1999,5081853,"South Asia"
"259","BGD","Bangladesh","Male","UNESCO_UIS Database_Sep2007",2000,5197617,"South Asia"
"260","BGD","Bangladesh","Male","UNESCO_UIS Database_Sep2007",2001,5246933,"South Asia"
"261","BGD","Bangladesh","Female","UNESCO_UIS Database_Sep2007",1999,4830465,"South Asia"
"262","BGD","Bangladesh","Male","UNESCO_UIS Database_Sep2007",2003,5380303,"South Asia"
"263","BGD","Bangladesh","Male","UNESCO_UIS Database_Sep2007",2004,5220989,"South Asia"
"264","BGD","Bangladesh","Female","UNESCO_UIS Database_Sep2007",2004,5133771,"South Asia"
