"Country.or.Area","Subgroup","Source","1999","2000","2001","2002","2003","2004","2005"
"Kenya","Male","UNESCO_UIS Database_Sep2007",935286,982304,1059184,1059184,1089982,1255816,1266990
"Kiribati","Female","UNESCO_UIS Database_Sep2007",4941,7116,6007,5425,6017,6119,5856
"Kiribati","Male","UNESCO_UIS Database_Sep2007",4329,4522,4579,4909,5355,5462,5475
"Korea Rep","Female","UNESCO_UIS Database_Sep2007",2103237,2001637,1894186,1798175,1738561,1726377,1742896
"Korea Rep","Male","UNESCO_UIS Database_Sep2007",2264446,2175143,2064516,1969865,1923198,1919240,1949617
"Kuwait","Female","UNESCO_UIS Database_Sep2007",115507,118849,121811,121156,129519,133418,123819
"Kuwait","Male","UNESCO_UIS Database_Sep2007",119599,121148,121946,122312,131176,133696,125076
"Kyrgyzstan","Female","UNESCO_UIS Database_Sep2007",317326,331308,338503,341446,367163,363446,356990
"Kyrgyzstan","Male","UNESCO_UIS Database_Sep2007",316030,328143,345329,347590,372096,369172,364215
"Lao PDR","Female","UNESCO_UIS Database_Sep2007",96819,107271,118197,132632,147898,160279,167266
"Lao PDR","Male","UNESCO_UIS Database_Sep2007",143448,157315,170192,187643,205464,219300,226590
"Latvia","Female","UNESCO_UIS Database_Sep2007",127554,132320,135220,136493,134765,134499,133082
"Latvia","Male","UNESCO_UIS Database_Sep2007",127827,134178,138973,141737,141307,141087,138549
"Lebanon","Female","UNESCO_UIS Database_Sep2007",191949,197084,166561,173102,179542,184566,186644
"Lebanon","Male","UNESCO_UIS Database_Sep2007",180416,186133,155575,163068,170669,174496,175722
"Lesotho","Female","UNESCO_UIS Database_Sep2007",42283,42182,44366,46169,47202,49972,52732
"Lesotho","Male","UNESCO_UIS Database_Sep2007",31337,32131,34900,36089,37116,39496,41728
"Liberia","Female","UNESCO_UIS Database_Sep2007",44355,56449,56449,56449,56449,56449,56449
"Liberia","Male","UNESCO_UIS Database_Sep2007",69523,79060,79060,79060,79060,79060,79060
"Libya","Female","UNESCO_UIS Database_Sep2007",416511,416511,416511,416511,402916,373616,373616
"Libya","Male","UNESCO_UIS Database_Sep2007",408027,408027,408027,408027,395076,327920,327920
"Liechtenstein","Female","UNESCO_UIS Database_Sep2007",1464,1464,1464,1464,1464,1480,1480
"Liechtenstein","Male","UNESCO_UIS Database_Sep2007",1791,1791,1791,1791,1791,1793,1793
"Lithuania","Female","UNESCO_UIS Database_Sep2007",200372,205978,211389,215244,217334,210462,206743
"Lithuania","Male","UNESCO_UIS Database_Sep2007",206579,215142,221665,227586,230618,220841,216963
"Luxembourg","Female","UNESCO_UIS Database_Sep2007",16211,16562,16935,17149,17440,17688,18119
"Luxembourg","Male","UNESCO_UIS Database_Sep2007",16302,16434,16671,16889,17276,17520,17827
"Macau SAR","Female","UNESCO_UIS Database_Sep2007",16361,17852,19555,21076,22314,23079,23003
"Macau SAR","Male","UNESCO_UIS Database_Sep2007",15498,17515,19388,20941,22111,23430,23536
"Macedonia","Female","UNESCO_UIS Database_Sep2007",105023,106196,106370,105008,105116,103618,102764
"Macedonia","Male","UNESCO_UIS Database_Sep2007",113643,115765,115711,113826,113533,112142,111241
"Madagascar","Female","UNESCO_UIS Database_Sep2007",169653,169653,169653,169653,169653,169653,169653
"Madagascar","Male","UNESCO_UIS Database_Sep2007",177288,177288,177288,177288,177288,177288,177288
"Malawi","Female","UNESCO_UIS Database_Sep2007",229352,208415,225945,225730,225228,225228,230926
"Malawi","Male","UNESCO_UIS Database_Sep2007",326970,278371,292306,291960,280075,280075,284536
"Malaysia","Female","UNESCO_UIS Database_Sep2007",1110299,1128390,1147350,1178811,1308232,1339868,1339868
"Malaysia","Male","UNESCO_UIS Database_Sep2007",1066564,1077036,1099524,1121251,1210410,1244125,1244125
"Maldives","Female","UNESCO_UIS Database_Sep2007",7663,10256,12544,13336,14760,14996,14996
"Maldives","Male","UNESCO_UIS Database_Sep2007",7325,9754,12063,12029,13852,13882,13882
"Mali","Female","UNESCO_UIS Database_Sep2007",74416,90736,90736,121098,121098,142374,161050
"Mali","Male","UNESCO_UIS Database_Sep2007",143284,167097,167097,228517,228517,246044,268666
"Malta","Female","UNESCO_UIS Database_Sep2007",17567,17567,17376,17643,18188,19543,19204
"Malta","Male","UNESCO_UIS Database_Sep2007",18514,18514,18867,18835,19368,22180,19757
"Marshall Islands","Female","UNESCO_UIS Database_Sep2007",3006,3006,3147,3147,3200,2911,2940
"Marshall Islands","Male","UNESCO_UIS Database_Sep2007",2951,2951,3206,3206,3260,2935,2961
"Mauritania","Female","UNESCO_UIS Database_Sep2007",26684,27332,32850,33951,37505,40290,42591
"Mauritania","Male","UNESCO_UIS Database_Sep2007",36798,38274,43808,44779,46902,48636,50205
"Mauritius","Female","UNESCO_UIS Database_Sep2007",50915,51152,52587,55213,58179,60029,62816
"Mauritius","Male","UNESCO_UIS Database_Sep2007",53155,54280,55259,56553,60055,62527,65075
"Mexico","Female","UNESCO_UIS Database_Sep2007",4356352,4567349,4726409,4933188,5242325,5325197,5407176
"Mexico","Male","UNESCO_UIS Database_Sep2007",4365374,4526754,4630735,4759788,4945860,5078656,5157228
"Monaco","Female","UNESCO_UIS Database_Sep2007",1468,1491,1437,1437,1437,1437,1437
"Monaco","Male","UNESCO_UIS Database_Sep2007",1415,1438,1534,1534,1534,1534,1534
"Mongolia","Female","UNESCO_UIS Database_Sep2007",113803,123634,140460,152076,166024,174964,177692
"Mongolia","Male","UNESCO_UIS Database_Sep2007",91426,102214,117805,130013,146750,158229,161557
"Montserrat","Female","UNESCO_UIS Database_Sep2007",128,138,141,145,141,139,147
"Montserrat","Male","UNESCO_UIS Database_Sep2007",144,146,156,156,144,145,151
"Morocco","Female","UNESCO_UIS Database_Sep2007",637292,673005,704852,742106,782634,842515,880259
"Morocco","Male","UNESCO_UIS Database_Sep2007",832502,868095,903427,942957,975423,1036968,1072197
"Mozambique","Female","UNESCO_UIS Database_Sep2007",42034,47553,55306,71496,100039,100039,124941
"Mozambique","Male","UNESCO_UIS Database_Sep2007",61113,76257,87247,109035,143389,143389,180936
"Myanmar","Female","UNESCO_UIS Database_Sep2007",1020441,1161259,1114511,1140986,1147109,1220459,1272094
"Myanmar","Male","UNESCO_UIS Database_Sep2007",1038566,1107143,1187408,1231607,1235499,1323978,1317218
"Namibia","Female","UNESCO_UIS Database_Sep2007",61207,65628,72180,72777,74521,76436,78648
"Namibia","Male","UNESCO_UIS Database_Sep2007",54924,58568,63763,65322,66455,77205,69456
"Nauru","Female","UNESCO_UIS Database_Sep2007",360,360,313,307,325,325,325
"Nauru","Male","UNESCO_UIS Database_Sep2007",302,302,323,266,320,320,320
"Nepal","Female","UNESCO_UIS Database_Sep2007",501264,540126,603826,692614,762893,918425,918425
"Nepal","Male","UNESCO_UIS Database_Sep2007",764194,808086,897677,997584,1059170,1135740,1135740
"Netherlands","Female","UNESCO_UIS Database_Sep2007",652044,660324,675190,674233,687071,677373,682450
"Netherlands","Male","UNESCO_UIS Database_Sep2007",712762,718929,727738,723706,728099,719323,727799
"Netherlands Antilles","Female","UNESCO_UIS Database_Sep2007",8277,7555,7703,7880,7960,7960,7960
"Netherlands Antilles","Male","UNESCO_UIS Database_Sep2007",7149,6863,6949,7213,7308,7308,7308
"New Zealand","Female","UNESCO_UIS Database_Sep2007",219077,223383,249116,249116,258617,253135,264213
"New Zealand","Male","UNESCO_UIS Database_Sep2007",217824,220499,233843,233843,245089,250106,261939
